# Absorption spectrum for (+)-terrein
# TITLE Antioxidant activity, NMR, X-ray, ECD and UV/vis spectra of (+)-terrein: Experimental and theoretical approaches
# DOI: 10.1016/j.molstruc.2013.12.034
#
# DATA Y1: Experimental Absorption Spectrum
# DATA Y2: Experimental CD Spectrum
# UNIT X1 : [nm]
# UNIT Y1: [a.u.] Intensity 300K
# UNIT X2 : [nm]
# UNIT Y2: [a.u.] Intensity 300K
#
#
#
X1        Y1
291.32558 13.86234
292.02642 13.06271
292.72726 12.32019
293.42810 11.74902
294.12894 11.07680
294.82979 10.65940
295.53063 10.16732
296.23147 9.60054
296.93231 9.02059
297.63315 8.45821
298.33399 7.88704
299.03483 7.38177
299.73567 6.96877
300.18166 6.73298

